zone,FGA,FGM,FG_PCT,FREQ,PPS,TEAM_ID,TEAM_NAME,SEASON,W_PCT,GP
Corner 3,492,192,0.3902439024390244,0.07482889733840305,1.1707317073170733,1610612757,Portland Trail Blazers,2010-11,0.585,82
Long mid (10–22),2014,765,0.3798411122144985,0.3063117870722433,0.759682224428997,1610612757,Portland Trail Blazers,2010-11,0.585,82
Rim (0–3),2105,1304,0.6194774346793349,0.32015209125475286,1.8584323040380046,1610612757,Portland Trail Blazers,2010-11,0.585,82
Short mid (3–10),976,364,0.3729508196721312,0.14844106463878326,1.1188524590163935,1610612757,Portland Trail Blazers,2010-11,0.585,82
Above-break 3,877,273,0.3112884834663626,0.1261326046310945,0.9338654503990879,1610612758,Sacramento Kings,2010-11,0.293,82
Corner 3,374,153,0.4090909090909091,0.05378973105134474,1.2272727272727273,1610612758,Sacramento Kings,2010-11,0.293,82
Long mid (10–22),2210,859,0.38868778280542987,0.31784841075794623,0.7773755656108597,1610612758,Sacramento Kings,2010-11,0.293,82
Rim (0–3),2275,1423,0.6254945054945055,0.3271968934272976,1.8764835164835163,1610612758,Sacramento Kings,2010-11,0.293,82
Short mid (3–10),1217,424,0.3483976992604766,0.175032360132317,1.0451930977814299,1610612758,Sacramento Kings,2010-11,0.293,82
Above-break 3,1061,410,0.38642789820923656,0.16029611723825352,1.1592836946277096,1610612759,San Antonio Spurs,2010-11,0.744,82
Corner 3,657,275,0.4185692541856925,0.09925970690436622,1.2557077625570776,1610612759,San Antonio Spurs,2010-11,0.744,82
Long mid (10–22),1708,696,0.40749414519906324,0.2580450219066324,0.8149882903981265,1610612759,San Antonio Spurs,2010-11,0.744,82
Rim (0–3),1989,1258,0.6324786324786325,0.30049856473787584,1.8974358974358974,1610612759,San Antonio Spurs,2010-11,0.744,82
Short mid (3–10),1204,509,0.4227574750830565,0.18190058921287203,1.2682724252491695,1610612759,San Antonio Spurs,2010-11,0.744,82
Above-break 3,1119,387,0.34584450402144773,0.16959684752955442,1.0375335120643432,1610612760,Oklahoma City Thunder,2010-11,0.671,82
Corner 3,275,100,0.36363636363636365,0.041679296756592904,1.0909090909090908,1610612760,Oklahoma City Thunder,2010-11,0.671,82
Long mid (10–22),2174,872,0.40110395584176634,0.3294937859957563,0.8022079116835327,1610612760,Oklahoma City Thunder,2010-11,0.671,82
Rim (0–3),2139,1395,0.6521739130434783,0.3241891482267354,1.9565217391304348,1610612760,Oklahoma City Thunder,2010-11,0.671,82
Short mid (3–10),891,312,0.3501683501683502,0.13504092149136102,1.0505050505050506,1610612760,Oklahoma City Thunder,2010-11,0.671,82
Above-break 3,821,258,0.31425091352009743,0.12175589500222453,0.9427527405602922,1610612761,Toronto Raptors,2010-11,0.268,82
Corner 3,258,87,0.3372093023255814,0.03826190123090612,1.0116279069767442,1610612761,Toronto Raptors,2010-11,0.268,82
Long mid (10–22),2318,945,0.40767903364969804,0.3437639033071333,0.8153580672993961,1610612761,Toronto Raptors,2010-11,0.268,82
Rim (0–3),2418,1461,0.6042183622828784,0.35859409758267835,1.8126550868486353,1610612761,Toronto Raptors,2010-11,0.268,82
Short mid (3–10),928,393,0.4234913793103448,0.13762420287705768,1.2704741379310345,1610612761,Toronto Raptors,2010-11,0.268,82
Above-break 3,998,345,0.3456913827655311,0.15181016124125343,1.0370741482965933,1610612762,Utah Jazz,2010-11,0.476,82
Corner 3,244,90,0.36885245901639346,0.037115911165196226,1.1065573770491803,1610612762,Utah Jazz,2010-11,0.476,82
Long mid (10–22),2055,829,0.40340632603406323,0.3125950714937633,0.8068126520681265,1610612762,Utah Jazz,2010-11,0.476,82
Rim (0–3),2209,1379,0.6242643730194658,0.3360206875570429,1.8727931190583975,1610612762,Utah Jazz,2010-11,0.476,82
Short mid (3–10),1068,420,0.39325842696629215,0.16245816854274414,1.1797752808988764,1610612762,Utah Jazz,2010-11,0.476,82
Above-break 3,646,212,0.3281733746130031,0.09533648170011806,0.9845201238390093,1610612763,Memphis Grizzlies,2010-11,0.561,82
Corner 3,255,97,0.3803921568627451,0.037632821723730815,1.1411764705882352,1610612763,Memphis Grizzlies,2010-11,0.561,82
Long mid (10–22),1960,771,0.3933673469387755,0.2892561983471074,0.786734693877551,1610612763,Memphis Grizzlies,2010-11,0.561,82
Rim (0–3),2414,1516,0.628003314001657,0.3562573789846517,1.884009942004971,1610612763,Memphis Grizzlies,2010-11,0.561,82
Short mid (3–10),1501,604,0.40239840106595604,0.22151711924439196,1.207195203197868,1610612763,Memphis Grizzlies,2010-11,0.561,82
Above-break 3,811,264,0.32552404438964244,0.11791218377435302,0.9765721331689273,1610612764,Washington Wizards,2010-11,0.28,82
Corner 3,362,129,0.356353591160221,0.05263157894736842,1.069060773480663,1610612764,Washington Wizards,2010-11,0.28,82
Long mid (10–22),2479,949,0.3828156514723679,0.3604245420180285,0.7656313029447358,1610612764,Washington Wizards,2010-11,0.28,82
Rim (0–3),2175,1316,0.6050574712643678,0.3162256469904042,1.8151724137931033,1610612764,Washington Wizards,2010-11,0.28,82
Short mid (3–10),1051,390,0.37107516650808753,0.1528060482698459,1.1132254995242625,1610612764,Washington Wizards,2010-11,0.28,82
Above-break 3,767,281,0.3663624511082138,0.11572118286059144,1.0990873533246415,1610612765,Detroit Pistons,2010-11,0.366,82
Corner 3,470,189,0.4021276595744681,0.07091128545564272,1.2063829787234044,1610612765,Detroit Pistons,2010-11,0.366,82
Long mid (10–22),2225,867,0.3896629213483146,0.3356970428485214,0.7793258426966292,1610612765,Detroit Pistons,2010-11,0.366,82
Rim (0–3),2192,1351,0.6163321167883211,0.33071816535908266,1.8489963503649633,1610612765,Detroit Pistons,2010-11,0.366,82
Short mid (3–10),974,366,0.3757700205338809,0.14695232347616174,1.1273100616016427,1610612765,Detroit Pistons,2010-11,0.366,82
Above-break 3,958,308,0.32150313152400833,0.15096123542388906,0.964509394572025,1610612766,Charlotte Hornets,2010-11,0.415,82
Corner 3,226,85,0.37610619469026546,0.03561298455720139,1.1283185840707963,1610612766,Charlotte Hornets,2010-11,0.415,82
Long mid (10–22),2038,824,0.4043179587831207,0.3211471793255594,0.8086359175662414,1610612766,Charlotte Hornets,2010-11,0.415,82
Rim (0–3),2345,1372,0.5850746268656717,0.36952410967538607,1.755223880597015,1610612766,Charlotte Hornets,2010-11,0.415,82
Short mid (3–10),779,284,0.3645699614890886,0.12275449101796407,1.0937098844672657,1610612766,Charlotte Hornets,2010-11,0.415,82
Above-break 3,858,307,0.3578088578088578,0.16067415730337078,1.0734265734265733,1610612737,Atlanta Hawks,2011-12,0.606,66
Corner 3,464,184,0.39655172413793105,0.08689138576779026,1.1896551724137931,1610612737,Atlanta Hawks,2011-12,0.606,66
Long mid (10–22),1663,633,0.38063740228502707,0.3114232209737828,0.7612748045700541,1610612737,Atlanta Hawks,2011-12,0.606,66
Rim (0–3),1646,1016,0.6172539489671932,0.30823970037453186,1.8517618469015797,1610612737,Atlanta Hawks,2011-12,0.606,66
Short mid (3–10),709,288,0.40620592383638926,0.13277153558052435,1.2186177715091677,1610612737,Atlanta Hawks,2011-12,0.606,66
Above-break 3,662,223,0.3368580060422961,0.13026367571822117,1.0105740181268883,1610612738,Boston Celtics,2011-12,0.591,66
